name,lat,lng,address
BUKIT PANJANG HAWKER CENTRE,1.377597,103.772492,2 BUKIT PANJANG RING ROAD BUKIT PANJANG HAWKER CENTRE SINGAPORE 679947
HAWKER CENTRE (BLK 1 JALAN KUKOH),1.288231,103.839934,1 JALAN KUKOH HAWKER CENTRE (BLK 1 JALAN KUKOH) SINGAPORE 161001
HAWKER CENTRE (BLK 208B NEW UPPER CHANGI ROAD),1.324782,103.93057,208B NEW UPPER CHANGI ROAD HAWKER CENTRE (BLK 208B NEW UPPER CHANGI ROAD) SINGAPORE 462208
HAWKER CENTRE (BLK 75 TOA PAYOH LORONG 5),1.336021,103.852957,75 LORONG 5 TOA PAYOH HAWKER CENTRE (BLK 75 TOA PAYOH LORONG 5) SINGAPORE 310075
JALAN BATU HAWKER CENTRE,1.30236,103.883909,4A JALAN BATU JALAN BATU HAWKER CENTRE SINGAPORE 432004
JURONG WEST HAWKER CENTRE,1.341264,103.697242,50 JURONG WEST STREET 61 JURONG WEST HAWKER CENTRE SINGAPORE 648202
MARSILING MALL HAWKER CENTRE,1.433543,103.779882,4 WOODLANDS STREET 12 MARSILING MALL HAWKER CENTRE SINGAPORE 738623
PASIR RIS CENTRAL HAWKER CENTRE,1.373473,103.951571,110 PASIR RIS CENTRAL PASIR RIS CENTRAL HAWKER CENTRE SINGAPORE 519641
SENJA HAWKER CENTRE,1.387194,103.761084,2 SENJA CLOSE SENJA HAWKER CENTRE SINGAPORE 677632
YISHUN PARK HAWKER CENTRE,1.424988,103.844748,51 YISHUN AVENUE 11 YISHUN PARK HAWKER CENTRE SINGAPORE 768867
BUANGKOK HAWKER CENTRE,1.383706,103.892309,11 SENGKANG CENTRAL BUANGKOK HAWKER CENTRE
CI YUAN HAWKER CENTRE,1.375429,103.882978,51 HOUGANG AVENUE 9 CI YUAN HAWKER CENTRE
HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD),1.326597,103.885052,79 CIRCUIT ROAD HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD) SINGAPORE 370079
MARKET & HAWKER CENTRE (BLK 11 TELOK BLANGAH CRESCENT),1.277368,103.818652,11 TELOK BLANGAH CRESCENT MARKET & HAWKER CENTRE (BLK 11 TELOK BLANGAH CRESCENT) SINGAPORE 090011
PUNGGOL COAST HAWKER CENTRE,1.414553,103.908235,84 PUNGGOL WAY PUNGGOL COAST HAWKER CENTRE
MARKET & HAWKER CENTRE (BLK 112 JALAN BUKIT MERAH),1.280005,103.826013,112 JALAN BUKIT MERAH MARKET & HAWKER CENTRE (BLK 112 JALAN BUKIT MERAH) SINGAPORE 160112
MARKET & HAWKER CENTRE (BLK 115 BUKIT MERAH VIEW),1.285504,103.821823,115 BUKIT MERAH VIEW MARKET & HAWKER CENTRE (BLK 115 BUKIT MERAH VIEW) SINGAPORE 151115
MARKET & HAWKER CENTRE (BLK 117 ALJUNIED AVE 2),1.320781,103.886774,117 ALJUNIED AVENUE 2 MARKET & HAWKER CENTRE (BLK 117 ALJUNIED AVE 2)
MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD ),1.320552,103.935539,16 BEDOK SOUTH ROAD MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD )
MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD),1.320501,103.935474,16 BEDOK SOUTH ROAD MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD) SINGAPORE 460016
MARKET & HAWKER CENTRE (BLK 210 TOA PAYOH LORONG 8 ),1.340252,103.854334,210 LORONG 8 TOA PAYOH MARKET & HAWKER CENTRE (BLK 210 TOA PAYOH LORONG 8 )
MARKET & HAWKER CENTRE (BLK 210 TOA PAYOH LORONG 8),1.340261,103.854396,210 LORONG 8 TOA PAYOH MARKET & HAWKER CENTRE (BLK 210 TOA PAYOH LORONG 8) SINGAPORE 310210
MARKET & HAWKER CENTRE (BLK 320 SHUNFU ROAD),1.352007,103.837032,320 SHUNFU ROAD MARKET & HAWKER CENTRE (BLK 320 SHUNFU ROAD)
MARKET & HAWKER CENTRE (BLK 353 CLEMENTI AVE 2),1.314379,103.77092,353 CLEMENTI AVENUE 2 MARKET & HAWKER CENTRE (BLK 353 CLEMENTI AVE 2) SINGAPORE 120353
MARKET & HAWKER CENTRE (BLK 409 ANG MO KIO AVE 10),1.362654,103.855288,409 ANG MO KIO AVENUE 10 MARKET & HAWKER CENTRE (BLK 409 ANG MO KIO AVE 10) SINGAPORE 560409
MARKET & HAWKER CENTRE (BLK 448 CLEMENTI AVENUE 3),1.31306,103.764521,448 CLEMENTI AVENUE 3 MARKET & HAWKER CENTRE (BLK 448 CLEMENTI AVENUE 3)
MARKET & HAWKER CENTRE (BLK 4A EUNOS CRESCENT),1.320331,103.904256,4A EUNOS CRESCENT MARKET & HAWKER CENTRE (BLK 4A EUNOS CRESCENT) SINGAPORE 402004
MARKET & HAWKER CENTRE (BLK 505 JURONG WEST STREET 52),1.349642,103.718448,505 JURONG WEST STREET 52 MARKET & HAWKER CENTRE (BLK 505 JURONG WEST STREET 52)
MARKET & HAWKER CENTRE (BLK 50A MARINE TERRACE),1.305775,103.915762,50A MARINE TERRACE MARKET & HAWKER CENTRE (BLK 50A MARINE TERRACE)
MARKET & HAWKER CENTRE (BLK 538 BEDOK NORTH STREET 3),1.332067,103.924621,538 BEDOK NORTH STREET 3 MARKET & HAWKER CENTRE (BLK 538 BEDOK NORTH STREET 3) SINGAPORE 460538
MARKET & HAWKER CENTRE (BLK 58 NEW UPPER CHANGI ROAD),1.324116,103.941154,58 NEW UPPER CHANGI ROAD MARKET & HAWKER CENTRE (BLK 58 NEW UPPER CHANGI ROAD)
MARKET & HAWKER CENTRE (BLK 724 ANG MO KIO AVE 6),1.372173,103.84651,724 ANG MO KIO AVENUE 6 MARKET & HAWKER CENTRE (BLK 724 ANG MO KIO AVE 6) SINGAPORE 560724
MARKET & HAWKER CENTRE (BLK 726 CLEMENTI WEST STREET 2),1.303811,103.764251,726 CLEMENTI WEST STREET 2 MARKET & HAWKER CENTRE (BLK 726 CLEMENTI WEST STREET 2) SINGAPORE 120726
FERNVALE HAWKER CENTRE & MARKET,1.391654,103.87719,21 SENGKANG WEST AVENUE FERNVALE HAWKER CENTRE & MARKET
HAWKER CENTRE (U/C),1.36612,103.937717,25 TAMPINES STREET 62 HAWKER CENTRE (U/C)
KUSU ISLAND HAWKER CENTRE,1.22321,103.860931,30 KUSU ISLAND KUSU ISLAND HAWKER CENTRE
MARKET & HAWKER CENTRE (BLKS 13/14 HAIG ROAD),1.315142,103.89561,13 HAIG ROAD MARKET & HAWKER CENTRE (BLKS 13/14 HAIG ROAD)
MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD),1.389649,103.9881,3 CHANGI VILLAGE ROAD MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD)
TANJONG PAGAR PLAZA MARKET & HAWKER CENTRE,1.276615,103.843167,6 TANJONG PAGAR PLAZA TANJONG PAGAR PLAZA MARKET & HAWKER CENTRE
TELOK BLANGAH HAWKER CENTRE & MARKET,1.273227,103.808514,78C TELOK BLANGAH DRIVE TELOK BLANGAH HAWKER CENTRE & MARKET
YUHUA MARKET & HAWKER CENTRE,1.345417,103.731704,347 JURONG EAST AVENUE 1 YUHUA MARKET & HAWKER CENTRE SINGAPORE 600347
BEDOK INTERCHANGE HAWKER CENTRE,1.324818,103.930544,208B NEW UPPER CHANGI ROAD BEDOK INTERCHANGE HAWKER CENTRE
BUKIT BATOK WEST HAWKER CENTRE,1.355451,103.742103,469A BUKIT BATOK WEST AVENUE 9 BUKIT BATOK WEST HAWKER CENTRE
BUKIT CANBERRA HAWKER CENTRE,1.448849,103.822852,21 CANBERRA LINK BUKIT CANBERRA HAWKER CENTRE
ENVIRONMENT BUILDING HAWKER CENTRE,1.310811,103.836488,40 SCOTTS ROAD ENVIRONMENT BUILDING HAWKER CENTRE
