name,lat,lng,type,address,postal_code
JURONG EAST MRT STATION (EW24 / NS1),1.333028,103.74237,MRT,10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690,609690
BUKIT BATOK MRT STATION (NS2),1.349033,103.749566,MRT,10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958,659958
BUKIT GOMBAK MRT STATION (NS3),1.358612,103.751791,MRT,802 BUKIT BATOK WEST AVENUE 5 BUKIT GOMBAK MRT STATION (NS3) SINGAPORE 659083,659083
CHOA CHU KANG MRT STATION (JS1),1.385368,103.744085,MRT,60 CHOA CHU KANG LOOP CHOA CHU KANG MRT STATION (JS1) SINGAPORE 689960,689960
YEW TEE MRT STATION (NS5),1.397535,103.747405,MRT,61 CHOA CHU KANG DRIVE YEW TEE MRT STATION (NS5) SINGAPORE 689715,689715
KRANJI MRT STATION (NS7),1.425087,103.762137,MRT,960 WOODLANDS ROAD KRANJI MRT STATION (NS7) SINGAPORE 738702,738702
MARSILING MRT STATION (NS8),1.432521,103.774075,MRT,71 WOODLANDS AVENUE 3 MARSILING MRT STATION (NS8) SINGAPORE 739044,739044
WOODLANDS MRT STATION (NS9),1.43682,103.786067,MRT,30 WOODLANDS AVENUE 2 WOODLANDS MRT STATION (NS9) SINGAPORE 738343,738343
ADMIRALTY MRT STATION (NS10),1.440589,103.800991,MRT,70 WOODLANDS AVENUE 7 ADMIRALTY MRT STATION (NS10) SINGAPORE 738344,738344
SEMBAWANG MRT STATION (NS11),1.449051,103.820046,MRT,11 CANBERRA ROAD SEMBAWANG MRT STATION (NS11) SINGAPORE 759775,759775
CANBERRA MRT STATION (NS12),1.443077,103.829703,MRT,11 CANBERRA LINK CANBERRA MRT STATION (NS12) SINGAPORE 756972,756972
YISHUN MRT STATION (NS13),1.429443,103.835005,MRT,301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093,769093
KHATIB MRT STATION (NS14),1.417383,103.83298,MRT,201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092,769092
ANG MO KIO MRT STATION,1.369933,103.849558,MRT,2450 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION SINGAPORE 569811,569811
BISHAN MRT STATION,1.351019,103.850057,MRT,17 BISHAN PLACE BISHAN MRT STATION,NIL
BRADDELL MRT STATION,1.340105,103.846756,MRT,377 LORONG 1 TOA PAYOH BRADDELL MRT STATION,NIL
TOA PAYOH MRT STATION (NS19),1.332629,103.847502,MRT,510 LORONG 6 TOA PAYOH TOA PAYOH MRT STATION (NS19) SINGAPORE 319398,319398
NOVENA MRT STATION (NS20),1.320441,103.843826,MRT,250 THOMSON ROAD NOVENA MRT STATION (NS20) SINGAPORE 307642,307642
NEWTON MRT STATION,1.31257,103.838032,MRT,49 SCOTTS ROAD NEWTON MRT STATION,NIL
ORCHARD BOULEVARD MRT STATION (TE13),1.302422,103.823869,MRT,20 ORCHARD BOULEVARD ORCHARD BOULEVARD MRT STATION (TE13) SINGAPORE 248654,248654
SOMERSET MRT STATION,1.300253,103.839158,MRT,1 SOMERSET ROAD SOMERSET MRT STATION,NIL
DHOBY GHAUT MRT STATION (CC1),1.298912,103.846293,MRT,13 ORCHARD ROAD DHOBY GHAUT MRT STATION (CC1) SINGAPORE 238893,238893
CITY HALL MRT STATION,1.29299,103.852543,MRT,150 NORTH BRIDGE ROAD CITY HALL MRT STATION,NIL
RAFFLES PLACE MRT STATION,1.283933,103.851463,MRT,5 RAFFLES PLACE RAFFLES PLACE MRT STATION,NIL
MARINA BAY MRT STATION,1.276311,103.854605,MRT,21 PARK STREET MARINA BAY MRT STATION,NIL
MARINA SOUTH PIER MRT STATION (NS28),1.271027,103.862448,MRT,33 MARINA COASTAL DRIVE MARINA SOUTH PIER MRT STATION (NS28) SINGAPORE 018948,018948
PASIR RIS MRT STATION (EW1),1.373043,103.949285,MRT,10 PASIR RIS CENTRAL PASIR RIS MRT STATION (EW1) SINGAPORE 519634,519634
TAMPINES EAST MRT STATION (DT33),1.356191,103.954634,MRT,20 TAMPINES AVENUE 7 TAMPINES EAST MRT STATION (DT33) SINGAPORE 529623,529623
SIMEI MRT STATION (EW3),1.343197,103.953377,MRT,30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888,529888
TANAH MERAH MRT STATION (EW4),1.327187,103.946349,MRT,920 NEW UPPER CHANGI ROAD TANAH MERAH MRT STATION (EW4) SINGAPORE 467356,467356
BEDOK MRT STATION (EW5),1.32398,103.929984,MRT,315 NEW UPPER CHANGI ROAD BEDOK MRT STATION (EW5) SINGAPORE 467347,467347
KEMBANGAN MRT STATION (EW6),1.321038,103.912948,MRT,55 SIMS AVENUE EAST KEMBANGAN MRT STATION (EW6) SINGAPORE 416551,416551
EUNOS MRT STATION (EW7),1.319784,103.903226,MRT,30 EUNOS CRESCENT EUNOS MRT STATION (EW7) SINGAPORE 409423,409423
PAYA LEBAR MRT STATION (CC9),1.317247,103.892261,MRT,15 PAYA LEBAR ROAD PAYA LEBAR MRT STATION (CC9) SINGAPORE 409049,409049
ALJUNIED MRT STATION (EW9),1.316433,103.882906,MRT,81 LORONG 25 GEYLANG ALJUNIED MRT STATION (EW9) SINGAPORE 388310,388310
KALLANG MRT STATION (EW10),1.311489,103.871387,MRT,5 SIMS AVENUE KALLANG MRT STATION (EW10) SINGAPORE 387405,387405
LAVENDER MRT STATION,1.307392,103.862785,MRT,50 KALLANG ROAD LAVENDER MRT STATION,NIL
BUGIS MRT STATION,1.300465,103.855707,MRT,320 VICTORIA STREET BUGIS MRT STATION SINGAPORE 188045,188045
TANJONG PAGAR MRT STATION (EW15),1.276561,103.845725,MRT,120 MAXWELL ROAD TANJONG PAGAR MRT STATION (EW15) SINGAPORE 069119,069119
OUTRAM PARK MRT STATION,1.280242,103.840052,MRT,300 EU TONG SEN STREET OUTRAM PARK MRT STATION,NIL
TIONG BAHRU MRT STATION,1.286195,103.826999,MRT,300 TIONG BAHRU ROAD TIONG BAHRU MRT STATION,NIL
REDHILL MRT STATION (EW18),1.289635,103.816741,MRT,920 TIONG BAHRU ROAD REDHILL MRT STATION (EW18) SINGAPORE 158792,158792
QUEENSTOWN MRT STATION (EW19),1.294551,103.806077,MRT,301 COMMONWEALTH AVENUE QUEENSTOWN MRT STATION (EW19) SINGAPORE 149729,149729
COMMONWEALTH MRT STATION (EW20),1.302502,103.798229,MRT,375 COMMONWEALTH AVENUE COMMONWEALTH MRT STATION (EW20) SINGAPORE 149735,149735
BUONA VISTA MRT STATION,1.306275,103.790363,MRT,150 NORTH BUONA VISTA ROAD BUONA VISTA MRT STATION,NIL
DOVER MRT STATION (EW22),1.311405,103.778638,MRT,200 COMMONWEALTH AVENUE WEST DOVER MRT STATION (EW22) SINGAPORE 138677,138677
CLEMENTI MRT STATION (EW23),1.315116,103.765191,MRT,3150 COMMONWEALTH AVENUE WEST CLEMENTI MRT STATION (EW23) SINGAPORE 129580,129580
CHINESE GARDEN MRT STATION (EW25),1.342353,103.732597,MRT,151 BOON LAY WAY CHINESE GARDEN MRT STATION (EW25) SINGAPORE 609959,609959
LAKESIDE MRT STATION (EW26),1.344259,103.720949,MRT,201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845,649845
BOON LAY MRT STATION (EW27),1.338604,103.706065,MRT,301 BOON LAY WAY BOON LAY MRT STATION (EW27) SINGAPORE 649846,649846
PIONEER MRT STATION (EW28),1.337587,103.697322,MRT,31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310,648310
JOO KOON MRT STATION (EW29),1.327717,103.678375,MRT,91 JOO KOON CIRCLE JOO KOON MRT STATION (EW29) SINGAPORE 629116,629116
GUL CIRCLE MRT STATION (EW30),1.319471,103.66053,MRT,7A TUAS ROAD GUL CIRCLE MRT STATION (EW30) SINGAPORE 637288,637288
TUAS CRESCENT MRT STATION (EW31),1.321027,103.649078,MRT,90 PIONEER ROAD TUAS CRESCENT MRT STATION (EW31) SINGAPORE 639608,639608
TUAS WEST ROAD MRT STATION (EW32),1.329985,103.639617,MRT,131 PIONEER ROAD TUAS WEST ROAD MRT STATION (EW32) SINGAPORE 639609,639609
