popularity_school,schools_name,notes
Fairfield Methodist,FAIRFIELD METHODIST SCHOOL (PRIMARY),short_name
Gongshang,GONGSHANG PRIMARY SCHOOL,short_name
Henry Park,HENRY PARK PRIMARY SCHOOL,short_name
Holy Innocents’,HOLY INNOCENTS' PRIMARY SCHOOL,punctuation
Kuo Chuan Presbyterian,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,short_name
River Valley,RIVER VALLEY PRIMARY SCHOOL,short_name
Rulang,RULANG PRIMARY SCHOOL,short_name
St. Hilda’s,ST. HILDA'S PRIMARY SCHOOL,abbr_and_punctuation
Nan Chiau,NAN CHIAU PRIMARY SCHOOL,short_name
Nan Hua,NAN HUA PRIMARY SCHOOL,short_name
Nanyang,NANYANG PRIMARY SCHOOL,short_name
Qifa,QIFA PRIMARY SCHOOL,short_name
Raffles Girls’,RAFFLES GIRLS' PRIMARY SCHOOL,punctuation
Tanjong Katong,TANJONG KATONG PRIMARY SCHOOL,short_name
Temasek,TEMASEK PRIMARY SCHOOL,short_name
Yangzheng,YANGZHENG PRIMARY SCHOOL,short_name
Anderson,ANDERSON PRIMARY SCHOOL,short_name
Alexandra,ALEXANDRA PRIMARY SCHOOL,short_name
Northland,NORTHLAND PRIMARY SCHOOL,short_name
Bukit Panjang,BUKIT PANJANG PRIMARY SCHOOL,short_name
South View,SOUTH VIEW PRIMARY SCHOOL,short_name
Xinmin,XINMIN PRIMARY SCHOOL,short_name
Sengkang Green,SENGKANG GREEN PRIMARY SCHOOL,spacing
Frontier,FRONTIER PRIMARY SCHOOL,short_name
Horizon,HORIZON PRIMARY SCHOOL,short_name
St. Anthony’s,ST. ANTHONY'S PRIMARY SCHOOL,abbr_and_punctuation
Huamin,HUAMIN PRIMARY SCHOOL,short_name
Anglo-Chinese (Primary),ANGLO-CHINESE SCHOOL (PRIMARY),parenthetical
Paya Lebar Methodist Girls’,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),missing_parenthetical_primary
Shuqun,SHUQUN PRIMARY SCHOOL,short_name
Punggol Green,PUNGGOL GREEN PRIMARY SCHOOL,short_name
Elias Park,ELIAS PARK PRIMARY SCHOOL,short_name
Punggol,PUNGGOL PRIMARY SCHOOL,short_name
Wellington,WELLINGTON PRIMARY SCHOOL,short_name
Admiralty,ADMIRALTY PRIMARY SCHOOL,short_name
Keming,KEMING PRIMARY SCHOOL,short_name
Chua Chu Kang,CHUA CHU KANG PRIMARY SCHOOL,short_name
Westwood,WESTWOOD PRIMARY SCHOOL,short_name
Princess Elizabeth,PRINCESS ELIZABETH PRIMARY SCHOOL,short_name
Rivervale,RIVERVALE PRIMARY SCHOOL,short_name
Hougang,HOUGANG PRIMARY SCHOOL,short_name
Compassvale,COMPASSVALE PRIMARY SCHOOL,short_name
Canberra,CANBERRA PRIMARY SCHOOL,short_name
Riverside,RIVERSIDE PRIMARY SCHOOL,short_name
Ngee Ann,NGEE ANN PRIMARY SCHOOL,short_name
Sembawang,SEMBAWANG PRIMARY SCHOOL,short_name
Fengshan,FENGSHAN PRIMARY SCHOOL,short_name
Jurong West,JURONG WEST PRIMARY SCHOOL,short_name
White Sands,WHITE SANDS PRIMARY SCHOOL,short_name
Valour,VALOUR PRIMARY SCHOOL,short_name
West Spring,WEST SPRING PRIMARY SCHOOL,short_name
Queenstown,QUEENSTOWN PRIMARY SCHOOL,short_name
Naval Base,NAVAL BASE PRIMARY SCHOOL,short_name
St. Margaret’s,ST. MARGARET'S SCHOOL (PRIMARY),abbr_and_punctuation
Woodlands,WOODLANDS PRIMARY SCHOOL,short_name
Waterway,WATERWAY PRIMARY SCHOOL,short_name
Woodgrove,WOODGROVE PRIMARY SCHOOL,short_name
Tampines,TAMPINES PRIMARY SCHOOL,short_name
Fern Green,FERN GREEN PRIMARY SCHOOL,short_name
Oasis,OASIS PRIMARY SCHOOL,short_name
Geylang Methodist,GEYLANG METHODIST SCHOOL (PRIMARY),missing_parenthetical_primary
Jing Shan,JING SHAN PRIMARY SCHOOL,short_name
Zhangde,ZHANGDE PRIMARY SCHOOL,short_name
Lakeside,LAKESIDE PRIMARY SCHOOL,short_name
North View,NORTH VIEW PRIMARY SCHOOL,short_name
Junyuan,JUNYUAN PRIMARY SCHOOL,short_name
Concord,CONCORD PRIMARY SCHOOL,short_name
Dazhong,DAZHONG PRIMARY SCHOOL,short_name
Innova,INNOVA PRIMARY SCHOOL,short_name
Teck Ghee,TECK GHEE PRIMARY SCHOOL,short_name
Punggol View,PUNGGOL VIEW PRIMARY SCHOOL,short_name
Opera Estate,OPERA ESTATE PRIMARY SCHOOL,short_name
Canossa Catholic,CANOSSA CATHOLIC PRIMARY SCHOOL,short_name
Zhenghua,ZHENGHUA PRIMARY SCHOOL,short_name
Angsana,ANGSANA PRIMARY SCHOOL,short_name
Greenwood,GREENWOOD PRIMARY SCHOOL,short_name
