name,lat,lng,address,postal_code,type
ADMIRALTY PRIMARY SCHOOL,1.4426347903311,103.800040119743,11 WOODLANDS CIRCLE,738907,PRIMARY
AHMAD IBRAHIM PRIMARY SCHOOL,1.43315271543517,103.832942401086,10 YISHUN STREET 11,768643,PRIMARY
AI TONG SCHOOL,1.3605834338904,103.833020333986,100 Bright Hill Drive,579646,PRIMARY
ALEXANDRA PRIMARY SCHOOL,1.29133439161334,103.824424680531,2A Prince Charles Crescent,159016,PRIMARY
ANCHOR GREEN PRIMARY SCHOOL,1.39036998654612,103.887165375933,31 Anchorvale Drive,544969,PRIMARY
ANDERSON PRIMARY SCHOOL,1.38419941907925,103.841411716006,19 ANG MO KIO AVE 9,569785,PRIMARY
ANG MO KIO PRIMARY SCHOOL,1.36932176584608,103.839630858752,20 ANG MO KIO AVENUE 3,569920,PRIMARY
ANGLO-CHINESE SCHOOL (JUNIOR),1.30935041274966,103.840950265464,16 WINSTEDT ROAD,227988,PRIMARY
ANGLO-CHINESE SCHOOL (PRIMARY),1.31837054523521,103.835609732354,50 BARKER ROAD,309918,PRIMARY
ANGSANA PRIMARY SCHOOL,1.36360590588314,103.9389409004,51 Tampines Street 61,528565,PRIMARY
BEACON PRIMARY SCHOOL,1.38394936211823,103.773632022975,36 Bukit Panjang Ring Road,679944,PRIMARY
BEDOK GREEN PRIMARY SCHOOL,1.32344593287992,103.937878976352,1 BEDOK SOUTH AVE 2,469317,PRIMARY
BENDEMEER PRIMARY SCHOOL,1.32181250780475,103.865404167629,91 BENDEMEER ROAD,339948,PRIMARY
BLANGAH RISE PRIMARY SCHOOL,1.27612047924037,103.808628535239,91 TELOK BLANGAH HEIGHTS,109100,PRIMARY
BOON LAY GARDEN PRIMARY SCHOOL,1.34284013791617,103.712858381937,20 BOON LAY DRIVE,649930,PRIMARY
BUKIT PANJANG PRIMARY SCHOOL,1.37350089986584,103.769417337654,109 CASHEW ROAD,679676,PRIMARY
BUKIT TIMAH PRIMARY SCHOOL,1.3377498622588,103.766855344779,111 Lorong Kismis,598112,PRIMARY
BUKIT VIEW PRIMARY SCHOOL,1.34586054788695,103.75366641455,18 BUKIT BATOK STREET 21,659634,PRIMARY
CANBERRA PRIMARY SCHOOL,1.45125024371543,103.815858858929,21 ADMIRALTY DRIVE,757714,PRIMARY
CANOSSA CATHOLIC PRIMARY SCHOOL,1.32664424544839,103.882227964852,1 Sallim Road,387621,PRIMARY
CANTONMENT PRIMARY SCHOOL,1.27547252623201,103.839962631748,1 CANTONMENT CLOSE,088256,PRIMARY
CASUARINA PRIMARY SCHOOL,1.37246063927999,103.957020286115,30 PASIR RIS ST 41,518935,PRIMARY
CEDAR PRIMARY SCHOOL,1.33566084356265,103.87562006259,15 CEDAR AVENUE,349700,PRIMARY
CHANGKAT PRIMARY SCHOOL,1.34023163951633,103.952080114035,11 SIMEI ST 3,529896,PRIMARY
CHIJ (KATONG) PRIMARY,1.30648535277087,103.911105620496,17 MARTIA ROAD,424821,PRIMARY
CHIJ (KELLOCK),1.275022722964,103.828157564896,1 Bukit Teresa Road,099757,PRIMARY
CHIJ OUR LADY OF GOOD COUNSEL,1.35742952269615,103.864009397373,2C Burghley Drive,558979,PRIMARY
CHIJ OUR LADY OF THE NATIVITY,1.37330297140128,103.897575728303,1257 UPPER SERANGOON ROAD,534793,PRIMARY
CHIJ OUR LADY QUEEN OF PEACE,1.366603668561,103.767412204602,4 Chestnut Drive,679287,PRIMARY
CHIJ PRIMARY (TOA PAYOH),1.33275264711587,103.841847263786,628 Lorong 1 Toa Payoh,319765,PRIMARY
CHONGFU SCHOOL,1.43839562897006,103.839309173817,170 YISHUN AVENUE 6,768959,PRIMARY
CHONGZHENG PRIMARY SCHOOL,1.35061130568554,103.951317297552,1 TAMPINES STREET 21,529392,PRIMARY
CHUA CHU KANG PRIMARY SCHOOL,1.37775890093367,103.741832917421,20 CHOA CHU KANG AVENUE 2,689905,PRIMARY
CLEMENTI PRIMARY SCHOOL,1.31506321827875,103.763144493687,8 CLEMENTI AVE 3,129903,PRIMARY
COMPASSVALE PRIMARY SCHOOL,1.39444529636566,103.897812229905,21 COMPASSVALE ST,545091,PRIMARY
CONCORD PRIMARY SCHOOL,1.38026516111464,103.736554295636,3 CHOA CHU KANG AVE 4,689814,PRIMARY
CORPORATION PRIMARY SCHOOL,1.35148548772662,103.707578404944,31 JURONG WEST STREET 24,648347,PRIMARY
DAMAI PRIMARY SCHOOL,1.33524602829747,103.921286435321,52 BEDOK RESERVOIR CRESCENT,479226,PRIMARY
DAZHONG PRIMARY SCHOOL,1.3591797447277,103.74847210784,35 BUKIT BATOK STREET 31,659441,PRIMARY
DE LA SALLE SCHOOL,1.3947078296399,103.743201812831,11 Choa Chu Kang St 52,689285,PRIMARY
EAST SPRING PRIMARY SCHOOL,1.35268400746357,103.961676849165,31 TAMPINES ST 33,529258,PRIMARY
EDGEFIELD PRIMARY SCHOOL,1.40009139510996,103.907847599114,41 EDGEFIELD PLAINS,828869,PRIMARY
ELIAS PARK PRIMARY SCHOOL,1.37505696315817,103.945289416873,11 PASIR RIS STREET 52,518866,PRIMARY
ENDEAVOUR PRIMARY SCHOOL,1.45388170417263,103.817174701639,10 Admiralty Link,757521,PRIMARY
EVERGREEN PRIMARY SCHOOL,1.44414835451585,103.794545295922,31 WOODLANDS CIRCLE,738908,PRIMARY
FAIRFIELD METHODIST SCHOOL (PRIMARY),1.30100441916733,103.785455606827,100 DOVER ROAD,139648,PRIMARY
FARRER PARK PRIMARY SCHOOL,1.31236867681371,103.850766402965,2 FARRER PARK ROAD,217567,PRIMARY
FENGSHAN PRIMARY SCHOOL,1.32980598760785,103.931710293058,307 BEDOK NORTH ROAD,469680,PRIMARY
FERN GREEN PRIMARY SCHOOL,1.39726966050479,103.880330305684,70 Fernvale Link,797538,PRIMARY
FERNVALE PRIMARY SCHOOL,1.39030227963797,103.874445458032,1 Fernvale Lane,797701,PRIMARY
FIRST TOA PAYOH PRIMARY SCHOOL,1.34032299499938,103.855529906182,7 LORONG 8 TOA PAYOH,319252,PRIMARY
FRONTIER PRIMARY SCHOOL,1.33641298743234,103.69970173931,20 Jurong West Street 61,648200,PRIMARY
FUCHUN PRIMARY SCHOOL,1.43047990810126,103.778192944298,23 WOODLANDS AVENUE 1,739063,PRIMARY
FUHUA PRIMARY SCHOOL,1.33659726465816,103.736089481883,65 JURONG EAST STREET 13,609647,PRIMARY
GAN ENG SENG PRIMARY SCHOOL,1.28559516494962,103.815547410064,100 REDHILL CLOSE,158901,PRIMARY
GEYLANG METHODIST SCHOOL (PRIMARY),1.31814416827374,103.883628501601,4 Geylang East Central,389706,PRIMARY
GONGSHANG PRIMARY SCHOOL,1.35711606790292,103.949144797277,1 TAMPINES STREET 42,529176,PRIMARY
GREENDALE PRIMARY SCHOOL,1.39648195114256,103.91233462071,50 Edgedale Plains,828848,PRIMARY
GREENRIDGE PRIMARY SCHOOL,1.3858892193692,103.767794469258,11 JELAPANG ROAD,677744,PRIMARY
GREENWOOD PRIMARY SCHOOL,1.43989958331782,103.804725587384,11 WOODLANDS  DR  62,737942,PRIMARY
HAIG GIRLS' SCHOOL,1.31194344271383,103.902902557195,51 Koon Seng Road,427072,PRIMARY
HENRY PARK PRIMARY SCHOOL,1.31667646178347,103.784296227747,1 HOLLAND GROVE ROAD,278790,PRIMARY
HOLY INNOCENTS' PRIMARY SCHOOL,1.36693830877349,103.894114899795,5 Lorong Low Koon,536451,PRIMARY
HONG WEN SCHOOL,1.32175999964553,103.857628468881,30 TOWNER ROAD,327829,PRIMARY
HORIZON PRIMARY SCHOOL,1.399550034492,103.913404855665,61 Edgedale Plains,828819,PRIMARY
HOUGANG PRIMARY SCHOOL,1.37571530699875,103.879472337592,1 HOUGANG ST 93,534238,PRIMARY
HUAMIN PRIMARY SCHOOL,1.42697284512936,103.844240226564,21 YISHUN AVENUE 11,768857,PRIMARY
INNOVA PRIMARY SCHOOL,1.42896700684852,103.790607539185,80 Woodlands Drive 17,737888,PRIMARY
JIEMIN PRIMARY SCHOOL,1.42768847665227,103.830425490093,2 YISHUN STREET 71,768515,PRIMARY
JING SHAN PRIMARY SCHOOL,1.37196445720109,103.851763531681,5 ANG MO KIO ST 52,569228,PRIMARY
JUNYUAN PRIMARY SCHOOL,1.34787074766746,103.939221709073,2 Tampines Street 91,528906,PRIMARY
JURONG PRIMARY SCHOOL,1.34843859698946,103.733156566858,320 JURONG EAST Street 32,609476,PRIMARY
JURONG WEST PRIMARY SCHOOL,1.33917519796104,103.698803732244,30 JURONG WEST ST 61,648368,PRIMARY
KEMING PRIMARY SCHOOL,1.34552849960874,103.756449399351,90 BUKIT BATOK EAST AVENUE 6,659762,PRIMARY
KHENG CHENG SCHOOL,1.3373381935639,103.847148501824,15 LORONG 3 TOA PAYOH,319580,PRIMARY
KONG HWA SCHOOL,1.31099674009193,103.888352029067,350 GUILLEMARD ROAD,399772,PRIMARY
