name,lat,lng,address
ION ORCHARD,1.30397974144505,103.832032328465,2 ORCHARD TURN ION ORCHARD SINGAPORE 238801
NGEE ANN CITY,1.30224168528687,103.835181912297,391 ORCHARD ROAD NGEE ANN CITY SINGAPORE 238872
PARAGON SINGAPORE,1.30387230879994,103.835857545469,290 ORCHARD ROAD THE PARAGON SINGAPORE 238859
313@SOMERSET,1.30101436404056,103.838360664485,313 ORCHARD ROAD 313 @ SOMERSET SINGAPORE 238895
WISMA ATRIA,1.30370477426147,103.833205752808,435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877
TANG PLAZA,1.30502562565776,103.832957478209,320 ORCHARD ROAD SINGAPORE MARRIOTT TANG PLAZA HOTEL
MANDARIN GALLERY,1.30200471731963,103.836583965806,333A ORCHARD ROAD MANDARIN GALLERY
PLAZA SINGAPURA,1.30074770963916,103.845047573431,68 ORCHARD ROAD PLAZA SINGAPURA SINGAPORE 238839
ORCHARD CENTRAL,1.30083890839245,103.839434733899,181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896
ORCHARD GATEWAY,1.30044325279546,103.839442780042,277 ORCHARD ROAD ORCHARD GATEWAY
LUCKY PLAZA,1.30450604646634,103.833962339817,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863
FAR EAST PLAZA,1.30717698071189,103.833792932243,14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213
WHEELOCK PLACE,1.30467628730252,103.830642027577,501 ORCHARD ROAD WHEELOCK PLACE SINGAPORE 238880
FORUM THE SHOPPING MALL,1.30609752164563,103.828678556041,583 ORCHARD ROAD FORUM THE SHOPPING MALL SINGAPORE 238884
SHAW HOUSE ORCHARD,1.30580981580562,103.831507365654,350 ORCHARD ROAD SHAW HOUSE SINGAPORE 238868
THE CENTREPOINT,1.30163588095465,103.839519660588,176 ORCHARD ROAD ASIAN ARTISTRY THE CENTREPOINT
KNIGHTSBRIDGE ORCHARD,1.3029831225958,103.836283923443,270 ORCHARD ROAD KNIGHTSBRIDGE
THE HEEREN,1.30265160142482,103.837367213158,260 ORCHARD ROAD THE HEEREN SINGAPORE 238855
PALAIS RENAISSANCE,1.30665484543191,103.829588045188,390 ORCHARD ROAD PALAIS RENAISSANCE SINGAPORE 238871
DELFI ORCHARD,1.30717887298465,103.828469994324,402 ORCHARD ROAD DELFI ORCHARD SINGAPORE 238876
LIAT TOWERS,1.30508722710852,103.830722581168,541 ORCHARD ROAD LIAT TOWERS SINGAPORE 238881
TANGLIN MALL,1.30484344196915,103.823852794772,163 TANGLIN ROAD TANGLIN MALL SINGAPORE 247933
CATHAY CINELEISURE ORCHARD,1.30152101873533,103.836429655016,8 GRANGE ROAD CATHAY CINELEISURE ORCHARD SINGAPORE 239695
MARINA BAY SANDS SHOPPES,1.28423496027027,103.858982282698,2 BAYFRONT AVENUE THE SHOPPES AT MARINA BAY SANDS SINGAPORE 018972
MARINA SQUARE,1.29185533273026,103.85857808906,6 RAFFLES BOULEVARD MARINA SQUARE SINGAPORE 039594
SUNTEC CITY MALL,1.29593189477195,103.859014406736,3 TEMASEK BOULEVARD SUNTEC CITY MALL SINGAPORE 038983
RAFFLES CITY SHOPPING CENTRE,1.29389357863312,103.853119904656,252 NORTH BRIDGE ROAD RAFFLES CITY SHOPPING CENTRE
FUNAN SINGAPORE,1.29161270605129,103.849478850252,67 HILL STREET LYF FUNAN SINGAPORE SINGAPORE 179370
MILLENIA WALK,1.29260544462492,103.859724944443,9 RAFFLES BOULEVARD MILLENIA WALK SINGAPORE 039596
CITYLINK MALL,1.2927777312893,103.854173501417,1 RAFFLES LINK CITYLINK MALL SINGAPORE 039393
CAPITOL SINGAPORE,1.29298775382221,103.851046829843,11 STAMFORD ROAD EDEN RESIDENCES CAPITOL SINGAPORE 178884
BUGIS JUNCTION,1.29911287475873,103.855411173758,200 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188021
BUGIS+,1.29960368990297,103.854242347489,201 VICTORIA STREET BUGIS+ SINGAPORE 188067
SIM LIM SQUARE,1.3030242605718,103.853037814067,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504
SIM LIM TOWER,1.30377222122298,103.85466144692,10 JALAN BESAR SIM LIM TOWER SINGAPORE 208787
TANJONG PAGAR CENTRE,1.27626737785153,103.842867461682,5 TANJONG PAGAR PLAZA MULBERRY LEARNING CENTRE@TANJONG PAGAR PTE. LTD
ICON VILLAGE,1.2750829743256,103.844510150859,12 GOPENG STREET ICON VILLAGE
VIVOCITY,1.26429316783973,103.82230469365,1 HARBOURFRONT WALK VIVOCITY SINGAPORE 098585
