school,mean_oversubscription,num_years,tier
Pei Chun Public,1.1155870989157664,6,high
Fairfield Methodist,1.0868437118437118,6,high
Tao Nan,1.0867274285346553,6,high
Rosyth,1.078167641325536,6,high
Radin Mas,1.0756044506044506,6,high
Kuo Chuan Presbyterian,1.0610545007538366,6,high
River Valley,1.0585470164731174,6,high
Henry Park,1.0528651903651902,6,high
Pei Hwa Presbyterian,1.0519680611785875,6,high
Nanyang,1.0512932973459288,6,high
Catholic High,1.0508771929824563,6,high
Ai Tong,1.0473063973063972,6,high
Nan Hua,1.046847888953152,6,high
Chongzheng,1.0468038075638197,6,high
St. Hilda’s,1.0462719298245613,6,high
Holy Innocents’,1.0462463917549447,6,high
Maris Stella High,1.0419321608870789,6,high
Maha Bodhi,1.041386986163022,6,high
Yu Neng,1.0403623692710857,6,high
Red Swastika,1.0390804597701149,6,high
Tanjong Katong,1.0369802485187067,6,high
Hong Wen,1.0341869328213587,6,high
Gongshang,1.0335230032445455,6,high
Yangzheng,1.032505527507227,6,high
Northland,1.0323732475171397,6,high
Pasir Ris,1.0314913245356794,6,high
Anderson,1.0314780415956264,6,high
Alexandra,1.030745912786865,6,high
Bukit Panjang,1.0303816660646705,6,high
South View,1.0300326135852451,6,high
Kong Hwa,1.0264870345621264,6,high
Xinmin,1.0263159262548869,6,high
CHIJ (Toa Payoh),1.0243501691552863,6,high
Sengkang Green,1.0239748677248677,6,high
Frontier,1.0227768685215495,6,high
St. Joseph’s Institution Junior,1.0223375532775627,6,high
Horizon,1.0220230790846354,6,high
CHIJ St. Nicholas Girls’,1.0217105263157895,6,high
St. Anthony’s,1.020383294909973,6,high
St. Andrew’s Junior,1.0201049088392826,6,high
Huamin,1.0200501370196433,6,high
Anglo-Chinese (Primary),1.019967580312408,6,high
Paya Lebar Methodist Girls’,1.0190833973773834,6,high
Shuqun,1.0182471264367816,6,high
Punggol Green,1.017597873995333,6,high
Poi Ching,1.0175900038932926,6,high
Elias Park,1.017131943305057,6,high
Rulang,1.0171052631578947,6,high
Chongfu,1.0170586527293846,6,high
Punggol,1.0156708195609798,6,high
Wellington,1.0143981002223756,6,high
CHIJ Our Lady of the Nativity,1.0142470972466522,6,high
Nan Chiau,1.0140106747998476,6,high
Qifa,1.013450869246112,6,high
Admiralty,1.0130060588135124,6,high
Keming,1.0129963272324385,6,high
Chua Chu Kang,1.0129257885771352,6,high
Westwood,1.0127026230474507,6,high
Temasek,1.0124818203143326,6,high
Anglo-Chinese (Junior),1.012410394265233,6,high
Princess Elizabeth,1.012121212121212,6,high
Mee Toh,1.0116939496694932,6,high
Raffles Girls’,1.0109808137768665,6,high
Rivervale,1.0104404990051978,6,high
Hougang,1.0097619946736294,6,high
Compassvale,1.0090527165049756,6,high
Methodist Girls’,1.0073696145124715,6,high
Canberra,1.0058338878651378,6,high
Singapore Chinese Girls’,1.0041666666666667,6,high
Riverside,1.003030303030303,6,high
Ngee Ann,0.9901443319224333,6,medium
Sembawang,0.9888654724271163,6,medium
Fengshan,0.9847359325333539,6,medium
Jurong West,0.9671003896289591,6,medium
White Sands,0.9669607356018636,6,medium
Valour,0.9645120405576679,6,medium
West Spring,0.9626767676767677,6,medium
Queenstown,0.9625046650559398,6,medium
Naval Base,0.9602277713784213,6,medium
St. Margaret’s,0.9507989785390604,6,medium
Woodlands,0.9484859992628975,6,medium
Waterway,0.9459747676572811,6,medium
Woodgrove,0.9443060400323023,6,medium
